col,city
SAN MATEO ATENCO CEN,SAN MATEO ATENCO
LA FE,SAN NICOLAS DE LOS GARZA
PARQUE INDUSTRIAL,GOMEZ PALACIO
ENSENADA CENTRO,ENSENADA
TABACALERA,CUAUHTEMOC
SAN FELIPE,TORREON
TEPEYAC INSURGENTES,GUSTAVO A MADERO
EL ZAPOTE DEL VALLE,TLAJOMULCO DE ZUNIGA
CONDESA,CUAUHTEMOC
DEL SANTISIMO,IXTACZOQUITLAN
LA MORENA,TULANCINGO DE BRAVO
INFONAVIT SAN MARCOS,TULA DE ALLENDE
MEXICALTZINGO,MEXICALTZINGO
CENTRO,MERIDA
CENTRO INDUSTRIAL TL,TLALNEPANTLA DE BAZ
SALINAS VICTORIA,SALINAS VICTORIA
ALFONSO XIII,ALVARO OBREGON
BOSQUE ESMERALDA,ATIZAPAN DE ZARAGOZA
CENTRO,DELICIAS
SAN LORENZO TETLIXTA,COACALCO DE BERRIOZABAL
IND TLALNEPANTLA,TLALNEPANTLA DE BAZ
AMPLIACION TECAMACHA,LA PAZ
SAN ANTONIO TLAYACAP,CHAPALA
BOSQUES DE LAS LOMAS,MIGUEL HIDALGO
LOMAS DE CHAPULTEPEC V SECCION,MIGUEL HIDALGO
ALHUATE,HUATABAMPO
SAN FELIPE I,CHIHUAHUA
INDEPENDENCIA,BENITO JUAREZ
POLITECNICO DON VASC,URUAPAN
MORELIA,MEXICALI
COL LA CEIBA,TEAPA
STA ISABEL TOLA,GUSTAVO A MADERO
GUSTAVO A MADERO,GUSTAVO A MADERO
CENTRO AREA 1,CUAUHTEMOC
BENITO JUAREZ,SANTIAGO DE QUERETARO
HIPODROMO CONDESA,CUAUHTEMOC
STA MARIA EL CHICO,TULANCINGO DE BRAVO
SAN BENITO,HERMOSILLO
VERSALLES,PUERTO VALLARTA
SAN JOSE INSURGENTES,BENITO JUAREZ
COSTA RICA,CULIACAN
ROMA NORTE,CUAUHTEMOC
DEL FRESNO 1A SECCIO,GUADALAJARA
MAGISTERIAL VISTA BE,TLALNEPANTLA DE BAZ
DEL NORTE,MONTERREY
ADOLFO LOPEZ MATEOS,ZAMORA
JOSE MARIA PINO SUAR,ALVARO OBREGON
CERVECERA MODELO,NAUCALPAN DE JUAREZ
NUEVO LAREDO CENTRO,NUEVO LAREDO
FRACC BERNARDO REYES,MONTERREY
YUCATAN,MERIDA
CENTRO DE LA CD DE M,CUAUHTEMOC
VICENTE GUERRERO,DELICIAS
